MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
RuPaul's Drag Race Holi-Slay Spectacular,(2018 TV Special),reality-tv,4.8,"'RuPaul's Drag Race' brings back eight fan favorites to compete for the title of America's first ""Drag Race Xmas Queen.""","Director: Nick Murray | Stars: RuPaul, Michelle Visage, Ross Mathews, Todrick Hall",1002,41,0.0,2018,Nick Murray,RuPaul Michelle Visage Ross Mathews Todrick Hall,"rupaul's drag race holi-slay spectacular reality-tv 'rupaul's drag race' brings back eight fan favorites to compete for the title of america's first ""drag race xmas queen."" nick murray rupaul michelle visage ross mathews todrick hall"
1920 London,(2016),horror mystery,4.1,"After her husband is possessed by an evil spirit, a woman turns to her former lover to perform an exorcism.","Director: Dharmendra Suresh Desai | Stars: Sharman Joshi, Meera Chopra, Vishal Karwal, Surendra Pal",1599,120,0.0,2016,Dharmendra Suresh Desai,Sharman Joshi Meera Chopra Vishal Karwal Surendra Pal,"1920 london horror mystery after her husband is possessed by an evil spirit, a woman turns to her former lover to perform an exorcism. dharmendra suresh desai sharman joshi meera chopra vishal karwal surendra pal"
100% Coco,(2017),drama,4.7,"A quirky 13-year-old girl dreams of becoming a style icon and anonymously starts her own fashion vlog called the Style Tiger. As the vlog becomes a big hit, Coco gets the chance to chase her dreams in Paris.","Director: Tessa Schram | Stars: Nola Kemper, Valentijn Avé, Merel de Zwart, Firy Beuk",838,88,0.0,2017,Tessa Schram,Nola Kemper Valentijn Avé Merel de Zwart Firy Beuk,"100% coco drama a quirky 13-year-old girl dreams of becoming a style icon and anonymously starts her own fashion vlog called the style tiger. as the vlog becomes a big hit, coco gets the chance to chase her dreams in paris. tessa schram nola kemper valentijn avé merel de zwart firy beuk"
Missing 9,(2017),adventure mystery,7.0,People from Legend Entertainment fly on a private plane to a concert. The 9 people consists of entertainers and staff members. The plane then becomes involved in a mysterious crash. The 9 ... See full summary »,"Stars: Jin-hee Baek, Jung Kyung-ho, Choi Tae-Joon, Oh Jeong-Se",336,0,0.0,2017,,Jin-hee Baek Jung Kyung-ho Choi Tae-Joon Oh Jeong-Se,missing 9 adventure mystery people from legend entertainment fly on a private plane to a concert. the 9 people consists of entertainers and staff members. the plane then becomes involved in a mysterious crash. the 9 ... see full summary » jin-hee baek jung kyung-ho choi tae-joon oh jeong-se
Growing Up Wild,(2016),documentary,7.3,"Travel to the wildest corners of the planet as five courageous animals tackle the very first challenges of their young lives. With a little guidance from sage family members, each must figure out how to find food and recognize danger.","Directors: Mark Linfield, Keith Scholey | Star: Daveed Diggs",334,78,0.0,2016,"Mark Linfield, Keith Scholey",Daveed Diggs,"growing up wild documentary travel to the wildest corners of the planet as five courageous animals tackle the very first challenges of their young lives. with a little guidance from sage family members, each must figure out how to find food and recognize danger. mark linfield, keith scholey daveed diggs"
The Home Edit,(2020– ),reality-tv,4.8,Follows master organizers Clea Shearer and Joanna Teplin as they dramatically transform the lives of their clients by conquering clutter with their signature style.,"Stars: Clea Shearer, Joanna Teplin",180,0,0.0,2020,,Clea Shearer Joanna Teplin,the home edit reality-tv follows master organizers clea shearer and joanna teplin as they dramatically transform the lives of their clients by conquering clutter with their signature style. clea shearer joanna teplin
Super Crooks,(2021– ),animation action adventure,0.0,"In this anime adaptation, small-time crook Johnny Bolt recruits the ultimate crew for one last heist for real. From comic book legend, Mark Millar.",,0,0,0.0,2021,,,"super crooks animation action adventure in this anime adaptation, small-time crook johnny bolt recruits the ultimate crew for one last heist for real. from comic book legend, mark millar."
The Surrogate,(2013 TV Movie),drama mystery thriller,4.6,"A married couple, struggling to have a child, hires a young woman to be their surrogate, but soon discovers she has a bizarre and deadly agenda.","Director: Doug Campbell | Stars: Cameron Mathison, Annie Wersching, Amy Scott, Matthew Alan",574,90,0.0,2013,Doug Campbell,Cameron Mathison Annie Wersching Amy Scott Matthew Alan,"the surrogate drama mystery thriller a married couple, struggling to have a child, hires a young woman to be their surrogate, but soon discovers she has a bizarre and deadly agenda. doug campbell cameron mathison annie wersching amy scott matthew alan"
Giving Voice,(2020),documentary,6.7,This film follows the annual August Wilson Monologue competition and the thousands of high schoolers who enter the competition for the opportunity to perform on Broadway.,"Directors: James D. Stern, Fernando Villena | Stars: Mary Alice, Annette Bening, Glenn Close, Viola Davis",227,87,0.0,2020,"James D. Stern, Fernando Villena",Mary Alice Annette Bening Glenn Close Viola Davis,"giving voice documentary this film follows the annual august wilson monologue competition and the thousands of high schoolers who enter the competition for the opportunity to perform on broadway. james d. stern, fernando villena mary alice annette bening glenn close viola davis"
Leng xue shi san ying,(1978),action adventure drama,7.4,Chi Ming-sing is a former disciple of a gang run by overlord Yoh Xi-hung. Yoh's disciples hunt Chi relentlessly as he travels on a soul-searching journey. He comes to the aid of a seemingly... See full summary »,"Director: Chung Sun | Stars: Sheng Fu, Lung Ti, Feng Ku, Lung Chan",870,90,0.0,1978,Chung Sun,Sheng Fu Lung Ti Feng Ku Lung Chan,leng xue shi san ying action adventure drama chi ming-sing is a former disciple of a gang run by overlord yoh xi-hung. yoh's disciples hunt chi relentlessly as he travels on a soul-searching journey. he comes to the aid of a seemingly... see full summary » chung sun sheng fu lung ti feng ku lung chan
Film Kteer Kbeer,(2015),action crime drama,7.1,"Intending to smuggle drugs across the borders, a small-time Lebanese drug-dealer slyly manipulates public opinion with the help of an underrated filmmaker.","Director: Mir-Jean Bou Chaaya | Stars: Alain Saadeh, Fouad Yammine, Wissam Fares, Tarek Yaacoub",1346,107,0.0,2015,Mir-Jean Bou Chaaya,Alain Saadeh Fouad Yammine Wissam Fares Tarek Yaacoub,"film kteer kbeer action crime drama intending to smuggle drugs across the borders, a small-time lebanese drug-dealer slyly manipulates public opinion with the help of an underrated filmmaker. mir-jean bou chaaya alain saadeh fouad yammine wissam fares tarek yaacoub"
La Misma Sangre,(2019),drama mystery thriller,6.1,A thriller by film director-writer Miguel Cohan. A deadly duel within a family where there can be no winners.,"Director: Miguel Cohan | Stars: Oscar Martínez, Dolores Fonzi, Diego Velázquez, Paulina García",726,113,0.0,2019,Miguel Cohan,Oscar Martínez Dolores Fonzi Diego Velázquez Paulina García,la misma sangre drama mystery thriller a thriller by film director-writer miguel cohan. a deadly duel within a family where there can be no winners. miguel cohan oscar martínez dolores fonzi diego velázquez paulina garcía
Pardon My Icelandic,(2020 TV Movie),comedy,7.9,"In this English-language special, Icelandic comedian Ari Eldjárn pokes fun at Nordic rivalries, Hollywood's take on Thor, the whims of toddlers and more.",Director: August Jakobsson | Star: Ari Eldjárn,1223,54,0.0,2020,August Jakobsson,Ari Eldjárn,"pardon my icelandic comedy in this english-language special, icelandic comedian ari eldjárn pokes fun at nordic rivalries, hollywood's take on thor, the whims of toddlers and more. august jakobsson ari eldjárn"
Sol Levante,(2020),animation short action,4.7,A young warrior leaves in search of the sacred place which is said to grant wishes. Better not to stir the wrath of the ancient guardian spirits.,Director: Akira Saitou,436,4,0.0,2020,,,sol levante animation short action a young warrior leaves in search of the sacred place which is said to grant wishes. better not to stir the wrath of the ancient guardian spirits.
Amazing Interiors,(2018– ),documentary,6.7,Tours through houses with interesting and special interiors.,"Stars: Wesley Cannon, Nicholas Laschkewitsch, Will Pemble, John Teall",723,0,0.0,2018,,Wesley Cannon Nicholas Laschkewitsch Will Pemble John Teall,amazing interiors documentary tours through houses with interesting and special interiors. wesley cannon nicholas laschkewitsch will pemble john teall
"Imperfect: Karir, Cinta, & Timbangan",(2019),comedy drama family,7.9,"Being born fat and has dark skins, it feels like a curse for Rara, especially when she worked at the office that has surrounded by pretty girls. Her boss wants her to lose her weight, but there is a man who loves the way she were.","Director: Ernest Prakasa | Stars: Jessica Mila, Reza Rahadian, Yasmin Napper, Karina Suwandhi",913,113,0.0,2019,Ernest Prakasa,Jessica Mila Reza Rahadian Yasmin Napper Karina Suwandhi,"imperfect: karir, cinta, & timbangan comedy drama family being born fat and has dark skins, it feels like a curse for rara, especially when she worked at the office that has surrounded by pretty girls. her boss wants her to lose her weight, but there is a man who loves the way she were. ernest prakasa jessica mila reza rahadian yasmin napper karina suwandhi"
The Bling Lagosians,(2019),drama,6.5,"As each member of the Holloway family work to solve their problems, they prepare for Mopelola's party, clearly to become the year's biggest society event. But the buzz about the party ... See full summary »","Director: Bolanle Austen-Peters | Stars: Gbenga Titiloye, Elvina Ibru, Osas Ighodaro, Sharon Ooja",82,97,0.0,2019,Bolanle Austen-Peters,Gbenga Titiloye Elvina Ibru Osas Ighodaro Sharon Ooja,"the bling lagosians drama as each member of the holloway family work to solve their problems, they prepare for mopelola's party, clearly to become the year's biggest society event. but the buzz about the party ... see full summary » bolanle austen-peters gbenga titiloye elvina ibru osas ighodaro sharon ooja"
Kill Ratio,(2016),action,4.1,An attack on the new President of a fledgling Eastern European democracy pits an American covert operative against the country's ruthless military leader determined to seize control of the government.,"Director: Paul Tanter | Stars: Tom Hopper, Amy Huberman, Nick Dunning, Lacy Moore",924,86,0.0,2016,Paul Tanter,Tom Hopper Amy Huberman Nick Dunning Lacy Moore,kill ratio action an attack on the new president of a fledgling eastern european democracy pits an american covert operative against the country's ruthless military leader determined to seize control of the government. paul tanter tom hopper amy huberman nick dunning lacy moore
Iwa Kakeru! Sport Climbing Girls,(2020),animation sport,6.1,"Konomi Kasahara, a junior high school girl, has made a big name after winning numerous competitive puzzle game tournaments. The story begins when she finds a sports climbing club in her ... See full summary »","Stars: Sumire Uesaka, Yui Ishikawa, Aina Suzuki, Miyu Tomita",145,24,0.0,2020,,Sumire Uesaka Yui Ishikawa Aina Suzuki Miyu Tomita,"iwa kakeru! sport climbing girls animation sport konomi kasahara, a junior high school girl, has made a big name after winning numerous competitive puzzle game tournaments. the story begins when she finds a sports climbing club in her ... see full summary » sumire uesaka yui ishikawa aina suzuki miyu tomita"
Chichipatos,(2020– ),comedy,4.4,An inept magician pulls off the trick of his life: accidentally disappearing a wanted criminal during a police raid. Now he's going to pay for that.,"Stars: Julián Cerati, Mariana Gómez, Júlio César Herrera, El Mindo",166,0,0.0,2020,,Julián Cerati Mariana Gómez Júlio César Herrera El Mindo,chichipatos comedy an inept magician pulls off the trick of his life: accidentally disappearing a wanted criminal during a police raid. now he's going to pay for that. julián cerati mariana gómez júlio césar herrera el mindo
